datetime,symbol,open,high,low,close,volume
2024-09-13 13:00:00,CRYPTOCAP:TOTAL,1994882053255.0,1995083737537.0,1987922315173.0,1988237645484.0,107596108934.90485
2024-09-13 14:00:00,CRYPTOCAP:TOTAL,1988236584223.0,1998465480863.0,1988120912586.0,1997796287256.0,107596108934.90485
2024-09-13 15:00:00,CRYPTOCAP:TOTAL,1997812869740.0,1998897244638.0,1992745078303.0,1993321671354.0,107596108934.90485
2024-09-13 16:00:00,CRYPTOCAP:TOTAL,1993325419898.0,1999886453327.0,1992477115109.0,1996843344493.0,107596108934.90485
2024-09-13 17:00:00,CRYPTOCAP:TOTAL,1996846799313.0,2007395079840.0,1996147251750.0,2007388758134.0,107596108934.90485
2024-09-13 18:00:00,CRYPTOCAP:TOTAL,2007385243503.0,2008213144390.0,1991973349947.0,1993446185920.0,107596108934.90485
2024-09-13 19:00:00,CRYPTOCAP:TOTAL,1993440369504.0,1996702050029.0,1986889505800.0,1995565260830.0,107596108934.90485
2024-09-13 20:00:00,CRYPTOCAP:TOTAL,1995560449666.0,2002663912072.0,1989252279889.0,2000133707035.0,107596108934.90485
2024-09-13 21:00:00,CRYPTOCAP:TOTAL,2000123503360.0,2012345214145.0,1993712614219.0,2010608430016.0,107596108934.90485
2024-09-13 22:00:00,CRYPTOCAP:TOTAL,2010609669799.0,2046820256571.0,2009601797675.0,2045149437385.0,107596108934.90485
2024-09-13 23:00:00,CRYPTOCAP:TOTAL,2045151304152.0,2049433479397.0,2034476161566.0,2039669674536.0,107596108934.90485
2024-09-14 00:00:00,CRYPTOCAP:TOTAL,2039666560354.0,2054012968873.0,2039582138053.0,2042759609040.0,107596108934.90485
2024-09-14 01:00:00,CRYPTOCAP:TOTAL,2042759770317.0,2053479050473.0,2040142120307.0,2049201815386.0,107596108934.90485
2024-09-14 02:00:00,CRYPTOCAP:TOTAL,2049200223504.0,2055387151713.0,2045145867598.0,2047961030951.0,107596108934.90485
2024-09-14 03:00:00,CRYPTOCAP:TOTAL,2047980342039.0,2053845641473.0,2045214805194.0,2050818676940.0,107596108934.90485
2024-09-14 04:00:00,CRYPTOCAP:TOTAL,2050816154062.0,2069154105551.0,2050533305584.0,2064940649824.0,107596108934.90485
2024-09-14 05:00:00,CRYPTOCAP:TOTAL,2064939420667.0,2073316663488.0,2064523261119.0,2071645522432.0,107596108934.90485
2024-09-14 06:00:00,CRYPTOCAP:TOTAL,2071680164566.0,2072238790039.0,2063879373024.0,2067794144986.0,107596108934.90485
2024-09-14 07:00:00,CRYPTOCAP:TOTAL,2067804364165.0,2071436300623.0,2064325425082.0,2065891721940.0,117069001495.4534
2024-09-14 08:00:00,CRYPTOCAP:TOTAL,2065892534444.0,2071222725936.0,2065288678351.0,2065311840973.0,117069001495.4534
2024-09-14 09:00:00,CRYPTOCAP:TOTAL,2065308209427.0,2068889909870.0,2063008688712.0,2063086463586.0,117069001495.4534
2024-09-14 10:00:00,CRYPTOCAP:TOTAL,2063075360528.0,2068175533562.0,2063060389215.0,2065491578678.0,117069001495.4534
2024-09-14 11:00:00,CRYPTOCAP:TOTAL,2065527964375.0,2065691290224.0,2061037082950.0,2061398419950.0,117069001495.4534
2024-09-14 12:00:00,CRYPTOCAP:TOTAL,2061373279006.0,2062371124684.0,2052170059768.0,2052392861852.0,117069001495.4534
2024-09-14 13:00:00,CRYPTOCAP:TOTAL,2052390622510.0,2056807280298.0,2051124249443.0,2055742954255.0,117069001495.4534
2024-09-14 14:00:00,CRYPTOCAP:TOTAL,2055741066349.0,2058802886750.0,2053723297321.0,2057623995704.0,117069001495.4534
2024-09-14 15:00:00,CRYPTOCAP:TOTAL,2057624982145.0,2058307958356.0,2051422750200.0,2052856446297.0,117069001495.4534
2024-09-14 16:00:00,CRYPTOCAP:TOTAL,2052846379756.0,2055925702927.0,2050496312866.0,2055913034957.0,117069001495.4534
2024-09-14 17:00:00,CRYPTOCAP:TOTAL,2055914351755.0,2055927025959.0,2047744456220.0,2049267321119.0,117069001495.4534
2024-09-14 18:00:00,CRYPTOCAP:TOTAL,2049270441758.0,2049271843504.0,2042885840607.0,2046436311429.0,117069001495.4534
2024-09-14 19:00:00,CRYPTOCAP:TOTAL,2046436596405.0,2051015097228.0,2044011189033.0,2049184335543.0,117069001495.4534
2024-09-14 20:00:00,CRYPTOCAP:TOTAL,2049190134479.0,2049671809887.0,2044861664260.0,2048993993956.0,117069001495.4534
2024-09-14 21:00:00,CRYPTOCAP:TOTAL,2049001596001.0,2055964844543.0,2046753753245.0,2053343000257.0,117069001495.4534
2024-09-14 22:00:00,CRYPTOCAP:TOTAL,2053332746695.0,2054464583101.0,2049988624666.0,2051678910489.0,117069001495.4534
2024-09-14 23:00:00,CRYPTOCAP:TOTAL,2051679978841.0,2054861101633.0,2050321706648.0,2054368783502.0,117069001495.4534
